"no_emp","birth_date","first_name","last_name","gender","hire_date","job_title"
10019,"1953-01-23","Lillian","Haddadi","M","1999-04-30","Staff"
10105,"1962-02-05","Hironoby","Piveteau","M","1999-03-23","Staff"
10139,"1963-03-03","Ewing","Foong","F","1998-03-15","Engineer"
10240,"1952-04-01","Remko","Maccarone","M","1998-10-06","Engineer"
10298,"1954-07-06","Dietrich","DuCasse","F","1999-03-30","Staff"
10408,"1964-03-17","Martijn","Kaiser","M","1998-10-07","Staff"
10423,"1956-01-10","Dante","Cronin","F","1998-09-06","Staff"
10543,"1962-10-06","Lein","Lichtman","M","1998-10-16","Staff"
10552,"1953-03-25","Kazuhito","Shiratori","M","1998-08-18","Senior Engineer"
10684,"1956-01-23","Aimee","Tokunaga","F","1999-10-28","Engineer"
10697,"1958-04-09","Bluma","Hiltgen","M","1998-03-04","Staff"
10854,"1954-08-11","Jagoda","Nannarelli","M","1998-07-13","Engineer"
10914,"1956-04-26","Mizuhito","Prochazka","M","1998-03-24","Staff"
11107,"1958-06-19","Martijn","Meriste","F","1998-05-02","Engineer"
11115,"1958-06-27","Sahrah","Demos","M","1998-11-03","Senior Engineer"
11177,"1954-04-09","Chrisa","dAstous","M","1998-04-05","Senior Engineer"
11213,"1955-10-19","Vugranam","Munoz","F","1998-06-17","Technique Leader"
11254,"1954-12-14","Danel","Rindone","F","1998-12-19","Staff"
11315,"1955-04-21","Neven","Meriste","M","1999-07-17","Staff"
11325,"1952-02-06","Samphel","Rossi","F","1999-01-10","Engineer"
11336,"1963-04-25","Kazuhisa","Gewali","M","1998-06-05","Engineer"
11342,"1959-12-29","Xudong","Butner","M","1998-02-03","Staff"
11351,"1957-01-01","Kristina","Vasanthakumar","F","1998-11-20","Engineer"
11456,"1958-07-21","Anyuan","Seuren","F","1998-12-05","Engineer"
11479,"1953-12-02","Shridhar","Pleszkun","M","1998-08-23","Staff"
11557,"1959-12-22","Candido","Pesch","F","1998-08-18","Staff"
11697,"1957-12-20","JoAnne","Merey","F","1999-11-06","Technique Leader"
11754,"1958-05-18","Malu","Magliocco","F","1999-08-23","Staff"
11829,"1952-08-01","Chaosheng","Pettis","F","1999-02-17","Assistant Engineer"
11873,"1960-08-09","Venkatesan","Reeken","F","1998-11-14","Staff"
11884,"1963-04-10","Patricia","Moehrke","M","1998-06-18","Senior Staff"
11926,"1955-04-06","Leni","Felcyn","F","1998-09-18","Engineer"
12015,"1954-08-26","Kensei","Guenter","M","1999-01-04","Staff"
12090,"1955-03-27","Shigenori","Angelopoulos","F","1998-07-24","Engineer"
12117,"1956-07-22","Zvonko","Rosaz","F","1999-02-01","Senior Engineer"
12196,"1959-05-14","JoAnne","Byoun","M","1998-08-16","Engineer"
12259,"1960-03-19","Juichirou","Hofting","F","1998-05-26","Staff"
12299,"1962-04-25","Billie","Kushner","M","1999-01-24","Engineer"
12364,"1954-07-01","Neelam","Cummings","F","1998-06-02","Assistant Engineer"
12389,"1963-10-16","Percy","Casperson","M","1999-10-08","Staff"
12474,"1957-11-09","Remco","Maquelin","F","1998-11-27","Assistant Engineer"
12495,"1962-12-28","Mooi","Erni","M","1999-10-01","Staff"
12550,"1957-09-16","Shawna","Marzano","M","1999-01-04","Senior Engineer"
12643,"1965-01-30","Morrie","Schurmann","F","1998-07-23","Staff"
12666,"1955-03-14","Stamatina","Prenel","M","1998-04-19","Engineer"
12670,"1952-06-10","Seongbae","Alameldin","M","1998-01-18","Engineer"
12712,"1959-12-15","Alagu","Chiodo","F","1998-05-11","Engineer"
12740,"1959-08-25","Khalid","Ferretti","F","1998-05-15","Staff"
12756,"1962-04-26","Mohit","Braccini","M","1998-01-23","Staff"
12786,"1953-01-28","Weiyi","Schusler","F","1998-10-21","Engineer"
12788,"1961-10-21","Kristina","Olano","M","1998-11-03","Assistant Engineer"
12889,"1952-05-02","Mayumi","Mukaidono","F","1999-01-22","Engineer"
13159,"1954-09-22","Jingling","Ranst","F","1999-06-19","Staff"
13189,"1955-11-29","Yuuichi","Bazzichi","F","1999-07-01","Staff"
13206,"1954-04-07","Tetsurou","Rullman","M","1999-03-06","Staff"
13218,"1963-12-20","Junichi","Attimonelli","F","1999-01-30","Senior Engineer"
13246,"1952-06-09","Adil","Siepmann","F","1999-12-31","Staff"
13344,"1960-07-31","Gor","Armand","M","1998-04-20","Engineer"
13357,"1953-08-19","Mabry","Llado","F","1999-01-24","Engineer"
13359,"1954-11-16","Pragnesh","Kragelund","F","1999-05-29","Senior Engineer"
13469,"1962-03-25","Yonghoan","Undy","F","1999-09-29","Engineer"
13551,"1962-10-30","Shuichi","Ducloy","M","1998-09-13","Staff"
13591,"1953-01-23","Jinxi","Poulakidas","F","1999-06-24","Assistant Engineer"
13805,"1958-06-02","Barry","Veldwijk","M","1999-04-13","Staff"
13818,"1962-07-07","Angel","Curless","F","1998-04-13","Engineer"
13819,"1959-10-15","Honglan","Percebois","M","1999-03-03","Engineer"
13822,"1960-11-22","Jianhao","Radwan","F","1998-06-04","Staff"
13839,"1957-11-25","Waiman","Weedon","M","1998-10-23","Senior Engineer"
13905,"1960-04-06","Otilia","Haddadi","M","1998-06-28","Engineer"
13919,"1952-04-22","Brewster","Sinicrope","M","1999-12-04","Engineer"
13940,"1961-10-22","Leon","Servieres","F","1999-01-08","Staff"
